Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
1995,9,Wisconsin,Water,Norovirus other,,Confirmed,School/college/university,148,0,,0,,,,,Drinking water,Community,
1995,9,Wisconsin,Water,Copper,,Confirmed,Community/municipality,22,0,,0,,,,,Drinking water,Community,
1995,10,Wisconsin,Water,Copper,,Confirmed,Community/municipality,15,,,,,,,,Drinking water,Community,
1996,6,Wisconsin,Water,Unknown,,Suspected,Restaurant,21,0,,0,,,,,Drinking water,Other,
1998,1,Wisconsin,Food,Clostridium perfringens,,Confirmed,Caterer,34,0,74,0,74,"beef, unspecified",,Beef,,,
1998,1,Wisconsin,Water,Unknown;Unknown;Unknown;Legionella unknown,,Suspected;Suspected;Suspected;Confirmed,Hotel/motel,45,,,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1998,2,Wisconsin,Water,Pseudomonas aeruginosa,,Confirmed,Hotel/motel,8,4,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1998,2,Wisconsin,Water,Pseudomonas aeruginosa,,Suspected,Hotel/motel,3,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1998,3,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Other,65,1,80,0,80,,,,,,
1998,4,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,22,1,41,0,41,,,,,,
1998,4,Wisconsin,Food,,,,Other,13,0,19,0,19,,,,,,
1998,5,Wisconsin,Food,Campylobacter jejuni,,Confirmed,School/college/university,16,0,27,0,27,taco or nacho salad,,Multiple,,,
1998,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Other,15,0,22,0,22,,,,,,
1998,6,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,63,24,42,0,42,"cheddar cheese, unspecified;cheddar cheese, unpasteurized",,Dairy,,,
1998,6,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,47,10,184,0,184,fruit salad,,Multiple,,,
1998,6,Wisconsin,Food,Clostridium perfringens,,Confirmed,Other,40,0,84,0,84,"turkey, unspecified;gravy, unspecified",,Multiple,,,
1998,6,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,12,2,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1998,6,Wisconsin,Water,Norovirus unknown,,Confirmed,Beach,18,,,,,,,,Recreational water -- untreated,Lake/Reservoir,
1998,6,Wisconsin,Food,,,,Restaurant: Other,7,0,10,0,10,"pizza, meat",,Multiple,,,
1998,7,Wisconsin,Food,,,,Private home/residence,13,0,13,0,13,"other cheese, pasteurized;multiple cheeses, unspecified",,Dairy,,,
1998,7,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,12,2,,,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1998,7,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,9,3,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1998,7,Wisconsin,Food,,,,Other,16,0,37,0,37,,,,,,
1998,7,Wisconsin,Food,,,,Restaurant: Other,12,0,16,0,16,"sandwich, submarine",,Multiple,,,
1998,7,Wisconsin,Food,Mycotoxins,,Confirmed,Private home/residence,2,2,2,0,2,"mushrooms, unspecified",,Fungi,,,
1998,8,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer,17,0,55,0,55,,,,,,
1998,8,Wisconsin,Food,Clostridium perfringens,,Confirmed,Religious facility,33,0,39,0,39,"tamale, unspecified",,Multiple,,,
1998,9,Wisconsin,Food,,,,Other,22,0,40,0,40,,,,,,
1998,9,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,3,0,3,0,3,"eggs, unspecified",,Eggs,,,
1998,10,Wisconsin,Food,Scombroid toxin,,Confirmed,Restaurant: Other,18,11,61,0,61,"fish, escolar",,Fish,,,
1998,10,Wisconsin,Food,,,,Restaurant: Other,27,0,25,0,25,,,,,,
1998,11,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,18,3,19,0,19,"turkey, unspecified",,Turkey,,,
1998,11,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Religious facility,13,3,11,0,11,"ground beef, meatballs",,Beef,,,
1998,12,Wisconsin,Food,,,,Restaurant: Other,12,0,21,0,21,,,,,,
1998,12,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,6,0,10,0,10,,,,,,
1999,1,Wisconsin,Food,,,,Restaurant: Other;Other,15,0,15,0,15,,,,,,
1999,2,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,9,0,10,0,10,"pizza, unspecified",,Multiple,,,
1999,3,Wisconsin,Food,Clostridium perfringens,,Confirmed,Hospital,10,,,,,soup unspecified,,Multiple,,,
1999,3,Wisconsin,Food,Staphylococcus aureus,,Confirmed,Restaurant: Other,4,1,4,0,4,"ham, unspecified",,Pork,,,
1999,4,Wisconsin,Food,Salmonella enterica,Give,Confirmed,Other,19,0,73,0,73,"chicken, unspecified",,Chicken,,,
1999,5,Wisconsin,Food,Clostridium perfringens,,Confirmed,School/college/university,35,0,35,0,35,"tomato sauce, unspecified",,N/A,,,
1999,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,23,1,23,0,23,"watermelon;pineapple, unspecified;melon, unspecified",,Fruits,,,
1999,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Office/indoor workplace,9,0,9,0,9,,,,,,
1999,5,Wisconsin,Food,Clostridium perfringens,,Confirmed,Caterer,20,0,31,0,31,"gravy, chicken;chicken, unspecified",,Multiple,,,
1999,7,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,10,2,,0,,,,,Recreational water -- treated,Lake/Reservoir,
1999,7,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Long-term care/nursing home/assisted living facility,5,3,5,0,0,"eggs, unspecified",egg,Eggs,,,
1999,7,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Long-term care/nursing home/assisted living facility,4,0,4,0,4,"eggs, unspecified",egg,Eggs,,,
1999,8,Wisconsin,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Beach;Outdoor Area,5,0,,0,,,,,Recreational water -- untreated,Lake/Reservoir,
1999,8,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer,36,1,36,0,36,,,,,,
1999,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,School/college/university,297,0,115,0,115,,,,,,
1999,10,Wisconsin,Food,,,,Restaurant: Other,5,,5,,5,"fish, haddock",,Fish,,,
1999,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,14,0,14,0,14,"chicken, unspecified",,Chicken,,,
1999,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,School/college/university,82,,82,0,82,,,,,,
1999,11,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,33,0,33,0,33,"ravioli, unspecified;lasagna, unspecified;eggs, other",,Multiple,,,
1999,11,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Private home/residence,20,0,20,0,20,"ground beef, meatballs",beef,Beef,,,
2000,1,Wisconsin,Water,Norovirus unknown,,Confirmed,Hotel/motel,9,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
2000,2,Wisconsin,Food,,,,Restaurant: Other,9,0,9,0,9,,,,,,
2000,2,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,4,0,4,0,4,,,,,,
2000,3,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,23,0,48,0,48,"multiple cheeses, unspecified;fruit salad",,Multiple,,,
2000,3,Wisconsin,Food,,,,Restaurant: Other,12,1,13,0,13,,,,,,
2000,4,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant: Other,8,0,8,0,8,,,,,,
2000,5,Wisconsin,Food,Campylobacter jejuni,,Confirmed,Other,19,0,17,0,17,"other milk, unpasteurized",milk,Dairy,,,
2000,5,Wisconsin,Water,Legionella pneumophila;Legionella pneumophila,,Confirmed;Suspected,Hotel/motel,20,,,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2000,5,Wisconsin,Food,Shigella sonnei,,Confirmed,Private home/residence,8,0,8,0,8,,,,,,
2000,5,Wisconsin,Food,,,,Restaurant: Other,33,1,33,0,33,,,,,,
2000,6,Wisconsin,Food,Salmonella enterica,Montevideo,Confirmed,Private home/residence,4,3,4,0,4,"taco, unspecified",,Multiple,,,
2000,7,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing;Norovirus Genogroup I",O157:H7,Confirmed;Suspected,Restaurant: Other,52,0,52,0,52,"lettuce, unspecified;chicken, buffalo wings",,Multiple,,,
2000,7,Wisconsin,Food,,,,Restaurant: Other,20,0,20,,,"lettuce, unspecified",,Vegetable Row Crops,,,
2000,7,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant: Other,736,23,63,1,63,watermelon,,Fruits,,,
2000,7,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer,46,0,46,0,46,pasta-based salads unspecified,,Multiple,,,
2000,7,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer,21,0,21,0,21,potato salad;pasta-based salads unspecified,,Multiple,,,
2000,8,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Religious facility,6,3,6,0,6,,,,,,
2000,8,Wisconsin,Food,Salmonella enterica,Typhimurium,Confirmed,Caterer,26,6,26,0,26,coleslaw,,Multiple,,,
2000,10,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,School/college/university,29,4,29,0,29,"cake, brownie",,Multiple,,,
2000,11,Wisconsin,Food,Staphylococcus aureus,,Confirmed,Restaurant: Other,17,0,17,0,17,"carnitas, unspecified",,Multiple,,,
2000,11,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant: Other;Grocery store/bakery/deli/convenience store;Caterer,61,0,61,0,61,"roast beef, unspecified;mushrooms, unspecified;gravy, unspecified",Sauces/ Dressings,Multiple,,,
2000,12,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,25,1,25,0,25,"sandwich, submarine",leafy green,Vegetable Row Crops,,,
2000,12,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,21,0,29,0,29,,,,,,
2000,12,Wisconsin,Food,,,,Restaurant: Other,28,,,0,28,,,,,,
2001,1,Wisconsin,Food,Norovirus Genogroup I,,Suspected,Caterer,27,0,27,0,27,,,,,,
2001,1,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,44,0,44,0,44,"sandwich, submarine",,Multiple,,,
2001,1,Wisconsin,Water,Campylobacter jejuni,,Confirmed,Private home/residence,13,2,,0,,,,,Drinking water,Individual/Private,
2001,4,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,4,0,4,0,4,,,,,,
2001,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,6,0,0,0,0,,,,,,
2001,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,24,1,24,0,24,,,,,,
2001,6,Wisconsin,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant: Other,21,0,21,0,21,"chicken, grilled",,Chicken,,,
2001,7,Wisconsin,Food,Salmonella enterica;Salmonella enterica;Salmonella enterica,Javiana;Kentucky;Mbandaka,Confirmed;Confirmed;Confirmed,Correctional/detention facility,56,0,56,0,56,meat sauce,,Multiple,,,
2001,7,Wisconsin,Food,"Escherichia coli, Enterotoxigenic",O169:H41,Confirmed,Restaurant: Other,21,0,21,0,21,"quesadilla, unspecified",,Multiple,,,
2001,8,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,8,0,8,0,8,"taco, unspecified",,Multiple,,,
2001,8,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant: Other,42,0,0,0,0,turkey and gravy,,Multiple,,,
2001,8,Wisconsin,Food,Salmonella enterica,Javiana,Confirmed,Private home/residence,4,,,,,,,,,,
2001,8,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Festival/fair,55,6,55,0,55,,,,,,
2001,9,Wisconsin,Food,Campylobacter jejuni;Staphylococcus aureus,,Confirmed;Confirmed,Private home/residence,20,3,20,0,20,"meat, unspecified",,N/A,,,
2001,9,Wisconsin,Water,Chloramines,,Confirmed,School/college/university,20,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
2001,9,Wisconsin,Food,,,,Restaurant: Other,10,0,10,0,10,,,,,,
2001,10,Wisconsin,Food,Campylobacter jejuni;Salmonella enterica,Thompson,Confirmed;Confirmed,Private home/residence,80,,,,,"beef/steak dish, unspecified",,Multiple,,,
2001,10,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,34,6,34,0,34,,,,,,
2001,10,Wisconsin,Food,,,,Restaurant: Other,31,,,0,31,,,,,,
2001,11,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Other,13,,,0,13,,,,,,
2001,11,Wisconsin,Water,Pseudomonas aeruginosa,,Suspected,Hotel/motel,7,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2001,11,Wisconsin,Food,Campylobacter jejuni,,Confirmed,Other,75,0,75,0,75,"whole milk, unpasteurized",,Dairy,,,
2001,12,Wisconsin,Food,,,,Restaurant: Other,26,0,26,0,26,,,,,,
2002,1,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,18,0,18,0,18,chicken salad,,Multiple,,,
2002,2,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,17,0,17,0,17,,,,,,
2002,3,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,11,0,11,0,11,"rice, unspecified;refried beans, unspecified",,Multiple,,,
2002,3,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,2,0,2,0,2,"sandwich, submarine",,Multiple,,,
2002,3,Wisconsin,Water,Norovirus unknown,,Confirmed,Hotel/motel,15,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
2002,4,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,59,12,59,0,59,"sandwich, submarine",,Multiple,,,
2002,4,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant: Other,34,0,34,0,34,"gravy, beef;beef, other",,Multiple,,,
2002,4,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,44,1,44,0,44,"sandwich, chicken parmesan",,Multiple,,,
2002,4,Wisconsin,Food,Salmonella enterica,Hartford,Confirmed,Restaurant: Other,43,,,0,43,"refried beans, unspecified",,Multiple,,,
2002,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,School/college/university;Other,19,0,19,0,19,"ice cream, commercial",,Multiple,,,
2002,6,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Camp,40,,,,,,,,,,
2002,6,Wisconsin,Food,Clostridium perfringens,,Confirmed,Grocery store/bakery/deli/convenience store;Other,13,0,13,0,13,"roast beef, other",,Beef,,,
2002,6,Wisconsin,Food,Scombroid toxin,,Suspected,Restaurant: Other,6,0,6,0,6,yellowfin tuna,,Fish,,,
2002,7,Wisconsin,Food,Salmonella enterica,Newport,Confirmed,Restaurant: Other,10,0,7,0,7,"sandwich, unspecified",,Multiple,,,
2002,7,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Other;Restaurant: Other,4,2,4,0,4,,,,,,
2002,7,Wisconsin,Food,Salmonella enterica,Typhimurium,Confirmed,Restaurant: Other,14,3,12,0,12,,,,,,
2002,7,Wisconsin,Water,Cryptosporidium unknown;Shigella sonnei;Norovirus unknown,,Confirmed;Confirmed;Confirmed,Outdoor Area;Park - State Park,44,1,,0,,,,,Recreational water -- untreated,Lake/Reservoir,
2002,8,Wisconsin,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,29,0,29,0,29,"shell eggs, scrambled hard",,Eggs,,,
2002,8,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence;Camp,19,11,19,0,19,"ground beef, hamburger",,Beef,,,
2002,8,Wisconsin,Food,Campylobacter coli,,Confirmed,Other,22,,,0,22,,,,,,
2002,9,Wisconsin,Food,Salmonella enterica,,Confirmed,Private home/residence;Other,16,,,0,15,"chicken, baked",,Chicken,,,
2002,9,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,6,0,6,0,6,,,,,,
2002,9,Wisconsin,Food,Salmonella enterica,,Confirmed,Restaurant: Other,12,,,,,,,,,,
2002,9,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer;Private home/residence,7,,,0,7,,,,,,
2002,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Private home/residence,12,,,0,12,,,,,,
2002,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer,20,,,0,20,"pastry, unspecified",,Multiple,,,
2002,10,Wisconsin,Food,Staphylococcus aureus,,Confirmed,Religious facility,29,3,29,0,29,"gravy, chicken",,Multiple,,,
2002,10,Wisconsin,Food,Salmonella enterica,Typhimurium,Confirmed,Festival/fair,4,1,4,0,4,"beef/steak dish, other",,Multiple,,,
2002,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Private home/residence,8,0,8,0,8,"cake, chocolate",,Multiple,,,
2002,11,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,19,0,19,0,19,,,,,,
2002,11,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,30,1,30,0,30,"sausage, Italian",,N/A,,,
2002,11,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Other,24,,,0,24,,,,,,
2002,12,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant: Other,12,,,0,12,"beef, other",,Beef,,,
2002,12,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Other,24,0,18,0,18,,,,,,
2003,2,Wisconsin,Water,Legionella pneumophila;Legionella pneumophila,serogroup 1;serogroup 1,Confirmed;Suspected,Hotel/motel,3,3,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2003,2,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Caterer;Religious facility,125,,,0,61,,,,,,
2003,3,Wisconsin,Food,Campylobacter jejuni,,Suspected,Other,2,0,2,0,2,"other milk, unpasteurized",,Dairy,,,
2003,4,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Private home/residence,11,,,0,11,,,,,,
2003,4,Wisconsin,Food,Salmonella enterica,Agona,Confirmed,Other,47,8,47,0,47,,,,,,
2003,4,Wisconsin,Food,Shigella flexneri,serotype 3 unspecified,Confirmed,Restaurant: Other,3,1,3,0,3,,,,,,
2003,5,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Correctional/detention facility,3,,,,,"eggs, unspecified",,Eggs,,,
2003,5,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Other;School/college/university,36,0,36,0,36,"rice dishes, unspecified;caesar salad",,Multiple,,,
2003,6,Wisconsin,Food,Campylobacter jejuni,,Confirmed,Restaurant: Other,3,0,3,0,3,"nachos, unspecified",,Multiple,,,
2003,7,Wisconsin,Food,Salmonella enterica,London,Confirmed,Private home/residence,26,0,26,0,26,"sandwich, ham",,Multiple,,,
2003,7,Wisconsin,Water,Cryptosporidium unknown,,Confirmed,Community/municipality,14,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
2003,7,Wisconsin,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Camp/cabin,10,1,,0,,,,,Other/Environmental water,,
2003,7,Wisconsin,Food,Salmonella enterica,Typhimurium,Confirmed,Other,38,3,38,0,38,"chicken, unspecified",,Chicken,,,
2003,8,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Religious facility,9,3,9,0,9,"chicken, baked",,Chicken,,,
2003,8,Wisconsin,Food,Campylobacter jejuni,,Confirmed,Restaurant: Other,5,0,5,0,5,"chicken, baked",,Chicken,,,
2003,8,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,9,0,9,0,9,"mozarella, pasteurized",,Dairy,,,
2003,9,Wisconsin,Food,Salmonella enterica,Oranienburg,Confirmed,Other,4,0,4,0,4,"ground beef, unspecified",,Beef,,,
2003,9,Wisconsin,Food,Salmonella enterica,Newport,Confirmed,Other,25,0,25,0,25,"pork, roasted",,Pork,,,
2003,9,Wisconsin,Food,Campylobacter unknown,,Confirmed,Grocery store/bakery/deli/convenience store;Caterer,17,0,16,0,16,"turkey, roasted",,Turkey,,,
2003,10,Wisconsin,Food,Salmonella enterica,Newport,Confirmed,Private home/residence,12,4,11,0,11,"ground beef, other",,Beef,,,
2003,10,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,2,0,2,0,2,raw cake/cookie dough,,Multiple,,,
2003,10,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,13,0,13,0,13,green salad,,Multiple,,,
2003,11,Wisconsin,Food,Yersinia enterocolitica,,Confirmed,Private home/residence,4,4,4,0,4,"pork, chitterlings",,Pork,,,
2003,11,Wisconsin,Food,Salmonella enterica,Javiana,Confirmed,Other,4,0,4,0,4,,,,,,
2004,1,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,School/college/university,31,0,31,0,31,"sandwich, turkey",,Multiple,,,
2004,1,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Caterer,21,1,21,0,21,green salad,,Multiple,,,
2004,1,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Long-term care/nursing home/assisted living facility,66,8,66,2,66,,,,,,
2004,1,Wisconsin,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,7,,,,,ice,,Other,,,
